object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow,labels
file,"['/systemd/netif/state', '/systemd/netif/.#state9XuMnh']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
pipe,['/docker/runtime-runc/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/exec.fifo'],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]","['read', 'getattr']",['write'],[],"['--log', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', 'create', '--pid-file', '--bundle', 'json', '--console-socket', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '--log-format', 'start', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json']",1,0
socket,[],"['/', '/usr/bin/runc']","['/', '/usr/bin/containerd-shim']","[1, 1, 1, 1, 1]","['receive_msg', 'getattr', 'receive']","['socket_create', 'send', 'socket_pair_create', 'send_msg']","['--log', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', 'create', '--pid-file', '--bundle', 'json', '--console-socket', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '--log-format', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json']","['init', 'runc']",1,0
pipe,[],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]",['read'],['write'],[],"['--log', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', 'create', '--pid-file', '--bundle', 'json', '--console-socket', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '--log-format', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json']",1,1
process_memory,['/'],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['clone_mem', 'memory_write']",[],"['--log', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', 'create', '--pid-file', '--bundle', 'json', '--console-socket', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '--log-format', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json']",1,1
process_memory,['/'],"['/', '/usr/bin/containerd-shim', '/usr/bin/dockerd']",['/'],"[1, 1, 1, 1, 1]","['memory_read', 'ptrace_read']","['clone_mem', 'memory_write']",[],"['--log', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', 'create', '--pid-file', '--bundle', 'json', '--console-socket', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '--log-format', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json']",1,1
socket,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['receive_msg'],"['socket_create', 'bind']",[],[],0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['clone_mem', 'exec_task', 'memory_write']",[],[],0,0
file,"['/systemd/netif/links/9', '/systemd/netif/links/.#9b8wXmJ']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'read', 'getattr']","['rename', 'write']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#stateZSasXS']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
file,"['/systemd/netif/links/.#3VLBYx2', '/systemd/netif/links/3']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
process_memory,['/'],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['clone_mem', 'memory_write']",[],"['--log', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', 'create', '--pid-file', '--bundle', 'json', '--console-socket', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '--log-format', 'start', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json']",1,1
file,"['/systemd/netif/state', '/systemd/netif/.#stateNYj4cf']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
file,"['/systemd/netif/links/9', '/systemd/netif/links/.#9H9EcSr']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confwvdLtk']",['/usr/bin/sudo'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
file,['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21/diff/lib/x86_64-linux-gnu/libnss_files.so.2'],['/usr/bin/dockerd'],"['/bin/cp', '/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]","['open', 'read', 'getattr', 'mmap_private', 'perm_check']","['rename', 'write']","['evil_libnss_files.so.2', 'cp', '/lib/x86_64-linux-gnu/libnss_files.so.2']","['docker-tar', '/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21/merged', '/root/']",1,1
file,['/evil'],['/bin/bash'],['/'],"[1, 1, 1, 1, 1]","['open', 'perm_check', 'read', 'getattr']",['write'],['bash'],"['cat', '/evil']",1,1
process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['--prefix=/net/ipv6/neigh/vethd453f2b', '/lib/systemd/systemd-sysctl', '--prefix=/net/ipv6/neigh/veth4f0e680', '--prefix=/net/ipv6/conf/veth4f0e680', '--prefix=/net/ipv4/neigh/veth4f0e680', '--prefix=/net/ipv4/conf/veth4f0e680', '--prefix=/net/ipv6/conf/vethd453f2b', '--prefix=/net/ipv4/conf/vethd453f2b', '--prefix=/net/ipv4/neigh/vethd453f2b']",0,0
process_memory,['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-timesyncd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],[],0,0
process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['memory_read', 'ptrace_read']",['memory_write'],[],[],0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],"['/', '/usr/bin/dockerd']","[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],0,0
